year,benthic_category,percent_cover
2006,macroalgae,0
2006,ctb,40
2006,macroalgae,0
2006,coral,24
2006,sand,72
2006,ctb,4
2006,ctb,36
2006,sand,48
2006,coral,16
2006,macroalgae,0
2006,macroalgae,0
2006,sand,80
2006,ctb,4
2006,coral,16
2006,coral,0
2006,macroalgae,0
2006,ctb,16
2006,sand,84
2006,ctb,16
2006,sand,8
2006,macroalgae,0
2006,coral,76
2006,macroalgae,0
2006,coral,12
2006,sand,16
2006,ctb,72
2006,coral,0
2006,macroalgae,0
2006,sand,16
2006,ctb,84
2006,macroalgae,0
2006,coral,24
2006,ctb,0
2006,sand,76
2006,ctb,48
2006,coral,24
2006,sand,28
2006,macroalgae,0
2006,ctb,48
2006,sand,0
2006,macroalgae,0
2006,coral,52
2006,coral,52
2006,ctb,40
2006,macroalgae,0
2006,sand,8
2006,ctb,76
2006,sand,0
2006,coral,24
2006,macroalgae,0
2006,sand,0
2006,coral,52
2006,macroalgae,0
2006,ctb,48
2006,macroalgae,0
2006,ctb,4
2006,coral,76
2006,sand,20
2006,ctb,44
2006,macroalgae,0
2006,sand,8
2006,coral,48
2006,sand,36
2006,coral,60
2006,macroalgae,0
2006,ctb,4
2006,coral,12
2006,macroalgae,0
2006,sand,72
2006,ctb,16
2006,ctb,12
2006,sand,68
2006,macroalgae,0
2006,coral,20
2006,ctb,56
2006,sand,4
2006,coral,40
2006,macroalgae,0
2006,sand,36
2006,macroalgae,0
2006,ctb,40
2006,coral,24
2006,sand,52
2006,macroalgae,0
2006,coral,24
2006,ctb,24
2006,coral,60
2006,macroalgae,0
2006,ctb,40
2006,sand,0
2006,coral,24
2006,ctb,20
2006,macroalgae,0
2006,sand,56
2006,macroalgae,0
2006,coral,52
2006,ctb,4
2006,sand,44
2006,coral,64
2006,macroalgae,0
2006,sand,4
2006,ctb,32
2006,macroalgae,0
2006,sand,20
2006,ctb,36
2006,coral,44
2006,coral,64
2006,ctb,4
2006,macroalgae,0
2006,sand,32
2006,macroalgae,0
2006,sand,0
2006,coral,28
2006,ctb,72
2006,sand,96
2006,macroalgae,0
2006,ctb,0
2006,coral,4
2006,macroalgae,0
2006,sand,100
2006,coral,0
2006,ctb,0
2006,macroalgae,0
2006,sand,44
2006,coral,56
2006,ctb,0
2006,ctb,60
2006,coral,32
2006,sand,8
2006,macroalgae,0
2006,macroalgae,0
2006,ctb,12
2006,sand,88
2006,coral,0
2006,sand,0
2006,macroalgae,4
2006,ctb,80
2006,coral,16
2006,sand,12
2006,coral,48
2006,macroalgae,0
2006,ctb,40
2006,sand,44
2006,coral,32
2006,macroalgae,0
2006,ctb,24
2006,macroalgae,0
2006,coral,56
2006,sand,0
2006,ctb,44
2006,ctb,20
2006,coral,76
2006,macroalgae,0
2006,sand,4
2006,coral,12
2006,ctb,80
2006,sand,4
2006,macroalgae,4
2006,macroalgae,0
2006,ctb,40
2006,coral,56
2006,sand,4
2006,sand,4
2006,ctb,80
2006,coral,16
2006,macroalgae,0
2006,macroalgae,0
2006,coral,8
2006,sand,92
2006,ctb,0
2006,sand,16
2006,macroalgae,0
2006,coral,56
2006,ctb,28
2006,coral,24
2006,macroalgae,0
2006,sand,52
2006,ctb,24
2006,ctb,12
2006,sand,80
2006,macroalgae,0
2006,coral,8
2006,ctb,48
2006,macroalgae,0
2006,coral,36
2006,sand,16
2006,coral,32
2006,sand,12
2006,ctb,56
2006,macroalgae,0
2006,macroalgae,0
2006,ctb,32
2006,coral,12
2006,sand,56
2006,coral,0
2006,sand,92
2006,macroalgae,0
2006,ctb,8
2006,coral,0
2006,macroalgae,0
2006,ctb,24
2006,sand,76
2006,coral,32
2006,macroalgae,0
2006,ctb,12
2006,sand,56
2006,coral,12
2006,macroalgae,0
2006,sand,72
2006,ctb,16
2006,sand,0
2006,macroalgae,0
2006,ctb,4
2006,coral,96
2006,ctb,24
2006,sand,72
2006,macroalgae,0
2006,coral,4
2006,macroalgae,0
2006,ctb,16
2006,coral,52
2006,sand,32
2006,macroalgae,0
2006,coral,32
2006,sand,68
2006,ctb,0
2006,macroalgae,0
2006,sand,44
2006,ctb,16
2006,coral,40
2006,coral,36
2006,macroalgae,0
2006,sand,44
2006,ctb,20
2006,macroalgae,0
2006,coral,12
2006,ctb,12
2006,sand,76
2006,ctb,24
2006,coral,48
2006,sand,28
2006,macroalgae,0
2006,sand,8
2006,macroalgae,0
2006,ctb,12
2006,coral,80
2006,sand,8
2006,coral,52
2006,ctb,40
2006,macroalgae,0
2006,macroalgae,0
2006,sand,25
2006,coral,29
2006,ctb,46
2006,sand,8
2006,macroalgae,0
2006,ctb,68
2006,coral,24
2006,sand,40
2006,coral,56
2006,ctb,4
2006,macroalgae,0
2006,sand,0
2006,macroalgae,0
2006,ctb,40
2006,coral,60
2006,sand,12
2006,ctb,24
2006,coral,64
2006,macroalgae,0
2006,macroalgae,0
2006,ctb,8
2006,sand,56
2006,coral,36
2006,coral,0
2006,sand,96
2006,macroalgae,0
2006,ctb,4
2006,sand,0
2006,ctb,52
2006,coral,36
2006,macroalgae,12
2006,macroalgae,0
2006,coral,4
2006,sand,64
2006,ctb,32
2006,sand,36
2006,coral,36
2006,macroalgae,0
2006,ctb,28
2006,sand,56
2006,coral,40
2006,ctb,4
2006,macroalgae,0
2006,ctb,24
2006,sand,44
2006,coral,32
2006,macroalgae,0
2006,ctb,24
2006,sand,36
2006,coral,40
2006,macroalgae,0
2006,sand,64
2006,ctb,36
2006,coral,0
2006,macroalgae,0
2006,macroalgae,0
2006,coral,64
2006,sand,16
2006,ctb,20
2006,coral,44
2006,sand,16
2006,macroalgae,0
2006,ctb,40
2006,macroalgae,0
2006,ctb,40
2006,coral,60
2006,sand,0
2006,macroalgae,0
2006,ctb,24
2006,sand,64
2006,coral,12
2006,macroalgae,0
2006,ctb,36
2006,coral,64
2006,sand,0
2006,coral,20
2006,ctb,48
2006,sand,32
2006,macroalgae,0
2006,coral,88
2006,macroalgae,0
2006,sand,0
2006,ctb,12
2006,macroalgae,0
2006,coral,92
2006,sand,0
2006,ctb,8
2006,macroalgae,0
2006,sand,40
2006,coral,20
2006,ctb,40
2006,coral,64
2006,sand,0
2006,macroalgae,0
2006,ctb,36
2006,macroalgae,0
2006,sand,8
2006,ctb,36
2006,coral,56
2006,macroalgae,0
2006,ctb,8
2006,sand,92
2006,coral,0
2006,coral,80
2006,sand,0
2006,macroalgae,0
2006,ctb,20
2006,macroalgae,0
2006,sand,12
2006,ctb,4
2006,coral,84
2006,coral,72
2006,sand,24
2006,macroalgae,0
2006,ctb,4
2006,coral,48
2006,ctb,48
2006,macroalgae,0
2006,sand,4
2006,coral,36
2006,sand,32
2006,ctb,32
2006,macroalgae,0
2006,coral,0
2006,sand,60
2006,macroalgae,0
2006,ctb,40
2006,macroalgae,0
2006,ctb,40
2006,sand,24
2006,coral,36
2006,sand,32
2006,coral,32
2006,ctb,36
2006,macroalgae,0
2006,coral,52
2006,sand,48
2006,ctb,0
2006,macroalgae,0
2006,macroalgae,0
2006,sand,24
2006,coral,32
2006,ctb,44
2006,coral,0
2006,sand,32
2006,ctb,68
2006,macroalgae,0
2006,sand,24
2006,macroalgae,0
2006,coral,0
2006,ctb,76
2006,macroalgae,0
2006,coral,32
2006,sand,68
2006,ctb,0
2006,macroalgae,0
2006,coral,88
2006,sand,12
2006,ctb,0
2006,coral,20
2006,sand,48
2006,macroalgae,0
2006,ctb,32
2006,macroalgae,0
2006,sand,24
2006,ctb,76
2006,coral,0
2006,coral,64
2006,macroalgae,0
2006,ctb,32
2006,sand,4
2006,sand,0
2006,macroalgae,0
2006,ctb,36
2006,coral,64
2006,macroalgae,0
2006,sand,0
2006,ctb,52
2006,coral,48
2006,ctb,36
2006,coral,64
2006,sand,0
2006,macroalgae,0
2006,ctb,8
2006,coral,88
2006,macroalgae,0
2006,sand,4
2006,sand,44
2006,macroalgae,0
2006,ctb,16
2006,coral,40
2006,macroalgae,0
2006,coral,12
2006,ctb,68
2006,sand,20
2006,sand,0
2006,ctb,56
2006,coral,44
2006,macroalgae,0
2006,macroalgae,0
2006,coral,20
2006,sand,12
2006,ctb,68
2006,coral,4
2006,sand,60
2006,macroalgae,0
2006,ctb,36
2006,coral,12
2006,ctb,44
2006,macroalgae,0
2006,sand,44
2006,coral,80
2006,macroalgae,0
2006,ctb,8
2006,sand,12
2006,sand,0
2006,ctb,8
2006,macroalgae,16
2006,coral,76
2006,sand,80
2006,coral,8
2006,ctb,12
2006,macroalgae,0
2006,coral,12
2006,ctb,12
2006,sand,76
2006,macroalgae,0
2006,coral,16
2006,ctb,16
2006,sand,68
2006,macroalgae,0
2006,coral,36
2006,ctb,64
2006,macroalgae,0
2006,sand,0
2006,sand,44
2006,macroalgae,0
2006,coral,32
2006,ctb,24
2006,ctb,16
2006,macroalgae,0
2006,sand,20
2006,coral,64
2006,sand,32
2006,coral,64
2006,ctb,4
2006,macroalgae,0
2006,macroalgae,0
2006,ctb,88
2006,coral,0
2006,sand,12
2006,coral,92
2006,macroalgae,0
2006,sand,0
2006,ctb,8
2006,macroalgae,0
2006,sand,32
2006,coral,48
2006,ctb,20
2006,coral,20
2006,macroalgae,0
2006,ctb,8
2006,sand,72
2006,ctb,48
2006,coral,16
2006,sand,36
2006,macroalgae,0
2006,sand,0
2006,coral,52
2006,ctb,48
2006,macroalgae,0
2006,macroalgae,0
2006,coral,20
2006,ctb,52
2006,sand,28
2006,coral,32
2006,ctb,68
2006,macroalgae,0
2006,sand,0
2006,ctb,48
2006,sand,8
2006,macroalgae,0
2006,coral,44
2006,macroalgae,0
2006,sand,8
2006,coral,20
2006,ctb,72
2006,sand,32
2006,coral,40
2006,macroalgae,0
2006,ctb,28
2006,sand,4
2006,macroalgae,0
2006,ctb,60
2006,coral,36
2006,coral,100
2006,ctb,0
2006,sand,0
2006,macroalgae,0
2006,ctb,16
2006,macroalgae,0
2006,coral,84
2006,sand,0
2006,sand,0
2006,macroalgae,0
2006,coral,84
2006,ctb,16
2006,sand,96
2006,macroalgae,0
2006,coral,0
2006,ctb,4
2006,coral,12
2006,sand,56
2006,macroalgae,0
2006,ctb,32
2006,macroalgae,0
2006,sand,4
2006,coral,40
2006,ctb,56
2006,coral,0
2006,macroalgae,0
2006,ctb,24
2006,sand,76
2006,macroalgae,0
2006,ctb,56
2006,coral,0
2006,sand,44
2006,coral,0
2006,ctb,64
2006,sand,36
2006,macroalgae,0
2006,ctb,52
2006,macroalgae,0
2006,coral,32
2006,sand,16
2006,macroalgae,0
2006,ctb,40
2006,sand,32
2006,coral,28
2006,sand,52
2006,ctb,48
2006,coral,0
2006,macroalgae,0
2006,sand,24
2006,ctb,68
2006,macroalgae,0
2006,coral,8
2006,ctb,76
2006,sand,0
2006,macroalgae,0
2006,coral,24
2006,coral,48
2006,ctb,28
2006,macroalgae,0
2006,sand,24
2006,ctb,64
2006,macroalgae,0
2006,coral,36
2006,sand,0
2006,macroalgae,0
2006,ctb,44
2006,sand,0
2006,coral,56
2006,ctb,56
2006,coral,44
2006,macroalgae,0
2006,sand,0
2006,macroalgae,0
2006,ctb,4
2006,coral,76
2006,sand,20
2006,ctb,92
2006,macroalgae,0
2006,coral,0
2006,sand,8
2006,sand,20
2006,coral,40
2006,ctb,40
2006,macroalgae,0
2006,macroalgae,0
2006,coral,4
2006,ctb,40
2006,sand,56
2006,coral,24
2006,macroalgae,0
2006,ctb,68
2006,sand,8
2006,macroalgae,0
2006,coral,24
2006,sand,52
2006,ctb,24
2006,macroalgae,0
2006,ctb,80
2006,sand,0
2006,coral,20
2006,sand,24
2006,macroalgae,0
2006,coral,60
2006,ctb,16
2006,ctb,44
2006,coral,32
2006,sand,24
2006,macroalgae,0
2006,macroalgae,0
2006,coral,8
2006,sand,0
2006,ctb,92
2006,sand,0
2006,ctb,96
2006,macroalgae,0
2006,coral,4
